code,name_ms,name_en,description_ms,description_en,is_active
ICT,Bahagian Pengurusan Maklumat,Information Management Division,Menguruskan infrastruktur dan perkhidmatan ICT untuk MOTAC,Manages ICT infrastructure and services for MOTAC,true
HR,Bahagian Pengurusan Sumber Manusia,Human Resource Management Division,Menguruskan hal ehwal kakitangan dan pembangunan sumber manusia,Manages staff affairs and human resource development,true
FIN,Bahagian Kewangan,Finance Division,"Menguruskan kewangan, perakaunan dan belanjawan","Manages finance, accounting and budgeting",true
LEGAL,Unit Perundangan,Legal Unit,Menguruskan hal ehwal perundangan dan pematuhan,Manages legal affairs and compliance,true
POLICY,Bahagian Dasar Kebudayaan,Cultural Policy Division,Menguruskan dasar dan pembangunan kebudayaan,Manages cultural policy and development,true
TOURISM,Bahagian Pembangunan Pelancongan,Tourism Development Division,Menguruskan pembangunan dan promosi pelancongan,Manages tourism development and promotion,true
CULTURE,Bahagian Dasar Kesenian,Arts Policy Division,Menguruskan dasar dan pembangunan kesenian,Manages arts policy and development,true
INTERNATIONAL,Bahagian Antarabangsa,International Division,Menguruskan hubungan antarabangsa dan kerjasama,Manages international relations and cooperation,true
RESEARCH,Bahagian Pembangunan Industri,Research & Industry Division,Menguruskan kajian dan pembangunan industri,Manages research and industry development,true
ADMIN,Bahagian Pentadbiran,Administration Division,Menguruskan pentadbiran am dan kemudahan pejabat,Manages general administration and office facilities,true
PROC,Bahagian Perolehan,Procurement Division,Menguruskan proses perolehan dan perolehan awam,Manages procurement process and public procurement,true
SUPPORT,Bahagian Khidmat Pengurusan,Support Services Division,Menguruskan operasi sokongan dan khidmat pengurusan,Manages support operations and management services,true
UAD,Unit Audit Dalam,Internal Audit Unit,Menguruskan audit dalaman kementerian,Manages internal audit of the ministry,true
UI,Unit Integriti,Integrity Unit,Menguruskan hal ehwal integriti dan tadbir urus,Manages integrity and governance affairs,true
UUU,Unit Undang-Undang,Legal Unit,Menguruskan perihal undang-undang kementerian,Manages the ministry's legal matters,true
UKPI,Unit KPI,Key Performance Indicator Unit,Menguruskan penilaian KPI dan pemantauan prestasi,Manages KPI evaluation and performance monitoring,true
UKCOVID,Unit Khas COVID-19,COVID-19 Special Unit,Unit khas berkaitan COVID-19 operations and response,Special unit for COVID-19 response and operations,true
VMS2026,Sekretariat Visit Malaysia 2026,Visit Malaysia 2026 Secretariat,Menguruskan koordinasi inisiatif Visit Malaysia 2026,Coordinates the Visit Malaysia 2026 initiative,true
