req_id,software_ref,requirement,design_ref,code_ref,test_case,status,notes,version
SRS-HELP-001,D03 §5.1,Guest helpdesk form with bilingual support (MS/EN),D04 §4.1,app/Livewire/Helpdesk/GuestHelpdeskForm.php,tests/Feature/Livewire/Helpdesk/GuestHelpdeskFormTest.php,IMPLEMENTED,Livewire 3.7.0 + Volt 1.10.1 + Alpine.js 3,3.2.0
SRS-HELP-002,D03 §5.1,Guest metadata stored in helpdesk_tickets (no user account creation),D09 §5.3,database/migrations/create_helpdesk_tickets_table.php,tests/Feature/HelpdeskTicketTest.php,IMPLEMENTED,Guest-first architecture: submitter_name/email/phone/division_code/grade,3.2.0
SRS-HELP-003,D03 §5.1,Real-time form validation using Livewire + Alpine.js,D04 §4.1,app/Livewire/Helpdesk/GuestHelpdeskForm.php,tests/Feature/Livewire/FormValidationTest.php,IMPLEMENTED,Email/phone format validation + attachment limits (≤5MB, 5 files),3.2.0
SRS-HELP-004,D03 §5.1,Automatic ticket number generation (HD-YYYYMM-XXXX),D04 §4.1,app/Services/TicketNumberService.php,tests/Feature/TicketNumberTest.php,IMPLEMENTED,Unique sequential numbering per month,3.2.0
SRS-HELP-005,D03 §5.1,Email confirmation to guest with ticket summary + status check link,D04 §5.4,app/Mail/TicketCreatedConfirmation.php,tests/Feature/Mail/TicketCreatedConfirmationTest.php,IMPLEMENTED,WCAG 2.2 AA compliant email template (text + HTML),3.2.0
SRS-HELP-006,D03 §5.1,Admin triage notification via queue + real-time (Laravel Reverb),D04 §5.3,app/Jobs/SendTicketTriageNotificationJob.php,tests/Feature/Jobs/TicketTriageNotificationTest.php,IMPLEMENTED,Laravel Reverb 1.6.2 WebSocket + Laravel Echo 2.2.6,3.2.0
SRS-HELP-007,D03 §5.1,Admin status updates via Filament (OPEN/IN_PROGRESS/AWAITING_INFO/RESOLVED/CLOSED),D04 §5.3,app/Filament/Resources/HelpdeskTicketResource.php,tests/Feature/Filament/HelpdeskTicketResourceTest.php,IMPLEMENTED,Filament 4.1.10 with status workflow,3.2.0
SRS-HELP-008,D03 §5.1,Admin internal comments (visible to admin only),D09 §5.4,database/migrations/create_helpdesk_comments_table.php,tests/Feature/HelpdeskCommentTest.php,IMPLEMENTED,visibility enum: INTERNAL/PUBLIC,3.2.0
SRS-HELP-009,D03 §5.1,Email notification to guest on every status update,D04 §5.4,app/Services/EmailNotificationService.php,tests/Feature/EmailNotificationTest.php,IMPLEMENTED,Automated email on status change,3.2.0
SRS-HELP-010,D03 §5.1,SLA tracking with breach alerts to superuser,D11 §7,app/Services/SlaTrackingService.php,tests/Feature/SlaTrackingTest.php,IMPLEMENTED,Priority-based SLA: CRITICAL 2h/HIGH 4h/MEDIUM 8h/LOW 24h,3.2.0
SRS-HELP-011,D03 §5.1,Attachment storage with metadata (path/original_name/mime_type/size/checksum),D09 §5.5,database/migrations/create_helpdesk_attachments_table.php,tests/Feature/HelpdeskAttachmentTest.php,IMPLEMENTED,S3 storage with SHA256 checksum,3.2.0
SRS-HELP-012,D03 §5.1,Attachment access restricted to admin/superuser only,D04 §5.3,app/Policies/HelpdeskAttachmentPolicy.php,tests/Feature/Policies/HelpdeskAttachmentPolicyTest.php,IMPLEMENTED,Role-based access control via Spatie permissions,3.2.0
SRS-HELP-013,D03 §5.1,Ticket assignment to admin users,D04 §5.3,app/Services/TicketAssignmentService.php,tests/Feature/TicketAssignmentTest.php,IMPLEMENTED,Manual assignment via Filament + auto-assignment logic,3.2.0
SRS-HELP-014,D03 §5.1,Ticket category management (hardware/software/network/access/other),D09 §5.3,database/seeders/TicketCategorySeeder.php,tests/Feature/TicketCategoryTest.php,IMPLEMENTED,Seeded categories with priority mapping,3.2.0
SRS-HELP-015,D03 §5.1,Priority calculation based on category + urgency,D04 §4.1,app/Services/PriorityCalculationService.php,tests/Feature/PriorityCalculationTest.php,IMPLEMENTED,Enum: LOW/MEDIUM/HIGH/CRITICAL,3.2.0
SRS-HELP-016,D03 §5.1,Status token for guest status checking (optional),D09 §5.11,database/migrations/create_status_tokens_table.php,tests/Feature/StatusTokenTest.php,IMPLEMENTED,Hashed token with expiry for guest self-service,3.2.0
SRS-HELP-017,D03 §5.1,PDPA acknowledgement checkbox (required),D04 §4.1,app/Http/Requests/StoreHelpdeskTicketRequest.php,tests/Feature/PdpaAcknowledgementTest.php,IMPLEMENTED,Boolean field: declaration (must be TRUE),3.2.0
SRS-HELP-018,D03 §5.3,Filament admin panel for ticket management (admin + superuser roles),D04 §5.3,app/Filament/Resources/HelpdeskTicketResource.php,tests/Feature/Filament/HelpdeskTicketResourceTest.php,IMPLEMENTED,Filament 4.1.10 with role-based access control,3.2.0
SRS-HELP-019,D03 §5.3,Real-time dashboard updates via Laravel Reverb WebSocket,D04 §5.3,app/Livewire/Dashboard/HelpdeskMetrics.php,tests/Feature/Livewire/Dashboard/HelpdeskMetricsTest.php,IMPLEMENTED,Laravel Reverb 1.6.2 + Laravel Echo 2.2.6,3.2.0
SRS-HELP-020,D03 §5.3,Ticket statistics export (CSV/PDF) for reporting,D04 §5.3,app/Services/ReportGenerationService.php,tests/Feature/ReportGenerationTest.php,IMPLEMENTED,Filament export actions with custom queries,3.2.0
SRS-HELP-021,D03 §5.3,Dashboard KPI metrics (SLA compliance/backlog/resolution time/volume trends),D04 §5.3,app/Services/DashboardService.php,tests/Feature/DashboardServiceTest.php,IMPLEMENTED,Real-time metrics with caching,3.2.0
SRS-HELP-022,D03 §5.5,Comprehensive audit trail (activity_log table),D09 §5.12,database/migrations/create_activity_log_table.php,tests/Feature/AuditTrailTest.php,IMPLEMENTED,Uses Spatie Activity Log + Laravel Auditing 14.x,3.2.0
SRS-HELP-023,D03 §8.1,OWASP ASVS L2 security compliance (CSRF/rate limiting/reCAPTCHA),D11 §6,config/security.php,tests/Feature/SecurityTest.php,IMPLEMENTED,Rate limit 60/min per IP + reCAPTCHA Enterprise (invisible),3.2.0
SRS-HELP-024,D03 §8.1,Attachment virus scanning before storage,D11 §6,app/Services/FileSecurityService.php,tests/Feature/FileSecurityTest.php,IMPLEMENTED,ClamAV integration for uploaded files,3.2.0
SRS-HELP-025,D03 §8.1,Data encryption at rest for sensitive fields (phone/email),D09 §7,app/Models/HelpdeskTicket.php,tests/Feature/DataEncryptionTest.php,IMPLEMENTED,Eloquent encrypted casts for PDPA compliance,3.2.0
SRS-HELP-026,D03 §8.2,Performance targets: LCP < 2.5s / FID < 100ms / TTFB < 500ms,D11 §8,tests/e2e/performance-core-web-vitals.spec.ts,tests/e2e/performance-core-web-vitals.spec.ts,IMPLEMENTED,Lighthouse score ≥ 90 for helpdesk forms,3.2.0
SRS-HELP-027,D03 §8.2,Queue processing for notifications < 30s,D11 §8,app/Jobs/SendTicketNotificationJob.php,tests/Feature/Jobs/QueuePerformanceTest.php,IMPLEMENTED,Redis queue with exponential backoff,3.2.0
