req_id,module,requirement_description,business_ref,software_ref,design_ref,code_ref,test_case,implementation_status,notes
BR-HELP-001,Helpdesk,Internal staff helpdesk form with guest metadata,D02 §6.1,D03 §5.1,D04 §4.1,"app/Livewire/Helpdesk/GuestForm.php, app/Models/HelpdeskTicket.php","tests/Feature/Helpdesk/GuestSubmissionTest.php",completed,"Livewire 3.7.0 + Volt 1.10.1 form; stores submitter metadata without user account"
BR-HELP-002,Helpdesk,Auto-generated ticket numbering (HD-YYYYMM-XXXX),D02 §6.1,D03 §5.1,D09 §5.3,"app/Models/HelpdeskTicket.php, database/migrations/*_create_helpdesk_tickets_table.php","tests/Feature/Helpdesk/TicketCreationTest.php",completed,Sequential numbering with format validation
BR-HELP-003,Helpdesk,SLA-based priority classification,D02 §6.1,D03 §5.1,D04 §4.1,"app/Services/SLATrackingService.php, config/helpdesk.php","tests/Feature/Helpdesk/SLATest.php",completed,Priority enum: LOW|MEDIUM|HIGH|CRITICAL with SLA deadlines
BR-HELP-004,Helpdesk,Admin assignment and triage via Filament,D02 §6.1,D03 §5.3,D04 §4.1,"app/Filament/Resources/HelpdeskTicketResource.php","tests/Feature/Helpdesk/AssignmentTest.php",completed,Filament 4.1.10 resource with real-time notifications via Laravel Reverb 1.6.2
BR-HELP-005,Helpdesk,File attachment management with virus scanning,D02 §6.1,D03 §5.1,D09 §5.5,"app/Models/HelpdeskAttachment.php, app/Services/FileUploadService.php","tests/Feature/Helpdesk/AttachmentTest.php",completed,ClamAV scanning; S3 storage with SHA256 checksum
BR-HELP-006,Helpdesk,Email notifications for ticket lifecycle,D02 §6.1,D03 §5.4,D08 §3,"app/Jobs/SendEmailNotification.php, app/Mail/TicketCreated.php","tests/Feature/Notification/EmailQueueTest.php",completed,Queued emails with WCAG-compliant templates
BR-LOAN-001,Asset Loan,Internal staff loan application form,D02 §6.2,D03 §5.2,D04 §4.2,"app/Livewire/Loan/GuestForm.php, app/Models/LoanApplication.php","tests/Feature/Loan/GuestSubmissionTest.php",completed,"Livewire 3.7.0 + Volt 1.10.1 form; stores applicant metadata without user account"
BR-LOAN-002,Asset Loan,Auto-generated reference numbering (LA-YYYYMM-XXXX),D02 §6.2,D03 §5.2,D09 §5.6,"app/Models/LoanApplication.php, database/migrations/*_create_loan_applications_table.php","tests/Feature/Loan/ApplicationCreationTest.php",completed,Sequential numbering with format validation
BR-LOAN-003,Asset Loan,Real-time asset availability checking,D02 §6.2,D03 §5.2,D04 §4.2,"app/Services/AssetAvailabilityService.php, app/Livewire/Loan/GuestForm.php","tests/Feature/Loan/AvailabilityTest.php",completed,Alpine.js 3 + Livewire 3.7.0 for real-time validation
BR-LOAN-004,Asset Loan,Email-based approval workflow with signed tokens,D02 §6.2,D03 §5.2,D04 §4.2,"app/Services/DualApprovalService.php, app/Models/LoanApproval.php","tests/Feature/Loan/ApprovalTokenTest.php",completed,JWT + SHA512 hashed tokens; 72-hour expiry
BR-LOAN-005,Asset Loan,Grade 41 officer approval via email link,D02 §6.2,D03 §5.2,D09 §5.9,"app/Http/Controllers/ApprovalController.php, resources/views/approval/decision.blade.php","tests/Feature/Loan/ApprovalTest.php",completed,Signed URL with decision recording (APPROVED|REJECTED)
BR-LOAN-006,Asset Loan,Asset check-out/check-in tracking,D02 §6.2,D03 §5.2,D09 §5.8,"app/Models/LoanTransaction.php, app/Filament/Resources/LoanTransactionResource.php","tests/Feature/Loan/TransactionTest.php",completed,Admin-managed via Filament 4.1.10 with condition notes
BR-LOAN-007,Asset Loan,Loan audit trail with IP tracking,D02 §6.2,D03 §5.5,D09 §5.10,"app/Models/LoanAudit.php, app/Observers/LoanApplicationObserver.php","tests/Feature/Audit/LoanAuditTest.php",completed,SHA512 hashed IP addresses; 7-year retention
BR-ADMIN-001,Administration,Filament admin panel for daily operations,D02 §6.3,D03 §5.3,D04 §5,"app/Filament/Resources/*, app/Providers/Filament/AdminPanelProvider.php","tests/Feature/Filament/AdminPanelTest.php",completed,Filament 4.1.10 with role-based access (admin|superuser)
BR-ADMIN-002,Administration,Real-time dashboard with SLA metrics,D02 §6.3,D03 §5.3,D04 §5,"app/Filament/Widgets/*, app/Services/DashboardService.php","tests/Feature/Filament/DashboardTest.php",completed,Livewire 3.7.0 widgets with Laravel Reverb 1.6.2 real-time updates
BR-ADMIN-003,Administration,2FA for superuser accounts,D02 §6.3,D03 §5.3,D11 §8,"app/Models/Traits/EncryptsAttributes.php, app/Http/Middleware/TwoFactorAuth.php","tests/Feature/Auth/TwoFactorTest.php",completed,TOTP-based 2FA with encrypted secrets (AES-256)
BR-INTEG-001,Integration,Government SMTP email integration,D02 §6.2,D03 §5.4,D08 §3,"config/mail.php, app/Services/EmailService.php","tests/Feature/Integration/SmtpTest.php",completed,Primary: GOV SMTP; Fallback: AWS SES
BR-INTEG-002,Integration,BPM SMS gateway for notifications,D02 §6.2,D03 §5.4,D08 §3,"app/Services/SmsService.php, config/services.php","tests/Feature/Integration/SmsTest.php",completed,API token stored in secrets manager
BR-INTEG-003,Integration,Optional webhook for external systems,D02 §6.3,D03 §5.4,D08 §5,"app/Http/Controllers/WebhookController.php, config/webhooks.php","tests/Feature/Integration/WebhookTest.php",completed,Superuser-controlled webhook configuration
NFR-PERF-001,Performance,Core Web Vitals compliance (LCP<2.5s),D02 §7,D03 §8.2,D11 §9,"resources/js/*, vite.config.js, public/build/*","tests/E2E/Performance/CoreWebVitalsTest.spec.ts",completed,Lighthouse CI integration; Vite 7.0.7 optimization
NFR-PERF-002,Performance,Query optimization with eager loading,D02 §7,D03 §8.2,D11 §9,"app/Models/*, database/migrations/* [indexes]","tests/Performance/QueryOptimizationTest.php",completed,N+1 prevention; composite indexes on FK columns
NFR-PERF-003,Performance,Redis caching for frequent queries,D02 §7,D03 §8.2,D11 §9,"config/cache.php, app/Services/CacheService.php","tests/Feature/Cache/CacheTest.php",completed,Cache driver: redis; TTL: 3600s
NFR-SEC-001,Security,CSRF protection on all forms,D02 §7,D03 §8.1,D11 §8,"app/Http/Middleware/VerifyCsrfToken.php","tests/Feature/Security/CsrfTest.php",completed,Laravel default CSRF middleware
