req_id,software_ref,requirement,design_ref,code_ref,test_case,status,notes,version
SRS-LOAN-001,D03 §5.2,Guest loan application form with bilingual support (MS/EN),D04 §4.2,app/Livewire/Loans/GuestLoanApplication.php,tests/Feature/Livewire/Loans/GuestLoanApplicationTest.php,IMPLEMENTED,Livewire 3.7.0 + Volt 1.10.1 + Alpine.js 3,3.2.0
SRS-LOAN-002,D03 §5.2,Guest metadata stored in loan_applications (no user account creation),D09 §5.6,database/migrations/create_loan_applications_table.php,tests/Feature/LoanApplicationTest.php,IMPLEMENTED,Guest-first architecture: applicant_name/email/phone/division_code/grade,3.2.0
SRS-LOAN-003,D03 §5.2,Real-time asset availability check using Livewire + Alpine.js,D04 §4.2,app/Services/AssetAvailabilityService.php,tests/Feature/AssetAvailabilityTest.php,IMPLEMENTED,Checks loan_transactions conflicts + displays alternatives,3.2.0
SRS-LOAN-004,D03 §5.2,Email-based approval workflow with signed tokens (JWT + SHA512),D04 §4.2,app/Services/ApprovalService.php,tests/Feature/ApprovalServiceTest.php,IMPLEMENTED,72-hour token expiry for Grade 41 officers,3.2.0
SRS-LOAN-005,D03 §5.2,Guest approval page (no login required) with decision buttons,D04 §4.2,resources/views/livewire/loans/approval-page.blade.php,tests/Feature/Livewire/Loans/ApprovalPageTest.php,IMPLEMENTED,Displays application summary + Approve/Reject buttons + remarks input,3.2.0
SRS-LOAN-006,D03 §5.2,Approval decision recording (decision/remarks/timestamp/IP hash),D09 §5.9,database/migrations/create_loan_approvals_table.php,tests/Feature/LoanApprovalTest.php,IMPLEMENTED,Stores approver_email/grade/decision/decision_at/decision_ip_hash,3.2.0
SRS-LOAN-007,D03 §5.2,Asset check-out/check-in tracking by admin via Filament,D04 §5.3,app/Filament/Resources/LoanTransactionResource.php,tests/Feature/Filament/LoanTransactionResourceTest.php,IMPLEMENTED,Records performed_by_admin_id + condition_notes + attachments_json,3.2.0
SRS-LOAN-008,D03 §5.2,Email notifications for all status changes (submitted/approved/rejected/issued/returned),D04 §5.4,app/Services/EmailNotificationService.php,tests/Feature/EmailNotificationTest.php,IMPLEMENTED,WCAG 2.2 AA compliant email templates (text + HTML),3.2.0
SRS-LOAN-009,D03 §5.2,Reminder emails 3 days before return date,D04 §5.4,app/Jobs/SendLoanReminderJob.php,tests/Feature/Jobs/SendLoanReminderJobTest.php,IMPLEMENTED,Scheduled job via Laravel queue,3.2.0
SRS-LOAN-010,D03 §5.2,Comprehensive audit trail (activity_log + loan_audits),D09 §5.10,database/migrations/create_loan_audits_table.php,tests/Feature/AuditTrailTest.php,IMPLEMENTED,Uses Laravel Auditing 14.x + Spatie Activity Log,3.2.0
SRS-LOAN-011,D03 §5.2,Form validation: purpose min length/date logic/item count/PDPA acknowledgement,D04 §4.2,app/Http/Requests/StoreLoanApplicationRequest.php,tests/Feature/LoanApplicationValidationTest.php,IMPLEMENTED,Laravel FormRequest with custom rules,3.2.0
SRS-LOAN-012,D03 §5.2,Asset categorization (laptop/tablet/camera/projector/etc),D09 §5.7,database/migrations/create_assets_table.php,tests/Feature/AssetCategoryTest.php,IMPLEMENTED,Seeded via AssetCategorySeeder,3.2.0
SRS-LOAN-013,D03 §5.2,Multi-item loan support (loan_items table),D09 §5.7,database/migrations/create_loan_items_table.php,tests/Feature/LoanItemTest.php,IMPLEMENTED,FK to loan_applications + assets with quantity field,3.2.0
SRS-LOAN-014,D03 §5.2,Status token for guest status checking (optional),D09 §5.11,database/migrations/create_status_tokens_table.php,tests/Feature/StatusTokenTest.php,IMPLEMENTED,Hashed token with expiry for guest self-service,3.2.0
SRS-LOAN-015,D03 §5.3,Filament admin panel for loan management (admin + superuser roles),D04 §5.3,app/Filament/Resources/LoanApplicationResource.php,tests/Feature/Filament/LoanApplicationResourceTest.php,IMPLEMENTED,Filament 4.1.10 with role-based access control,3.2.0
SRS-LOAN-016,D03 §5.3,Real-time dashboard updates via Laravel Reverb WebSocket,D04 §5.3,app/Livewire/Dashboard/LoanMetrics.php,tests/Feature/Livewire/Dashboard/LoanMetricsTest.php,IMPLEMENTED,Laravel Reverb 1.6.2 + Laravel Echo 2.2.6,3.2.0
SRS-LOAN-017,D03 §5.3,Loan statistics export (CSV/PDF) for reporting,D04 §5.3,app/Services/ReportGenerationService.php,tests/Feature/ReportGenerationTest.php,IMPLEMENTED,Filament export actions with custom queries,3.2.0
SRS-LOAN-018,D03 §8.1,OWASP ASVS L2 security compliance (signed routes/token hashing/rate limiting),D11 §6,config/security.php,tests/Feature/SecurityTest.php,IMPLEMENTED,CSRF + rate limit 60/min per IP + reCAPTCHA Enterprise,3.2.0
SRS-LOAN-019,D03 §8.1,Attachment virus scanning before download,D11 §6,app/Services/FileSecurityService.php,tests/Feature/FileSecurityTest.php,IMPLEMENTED,ClamAV integration for uploaded files,3.2.0
SRS-LOAN-020,D03 §8.1,Data encryption at rest for sensitive fields (phone/email),D09 §7,app/Models/LoanApplication.php,tests/Feature/DataEncryptionTest.php,IMPLEMENTED,Eloquent encrypted casts for PDPA compliance,3.2.0
SRS-LOAN-021,D03 §8.2,Performance targets: LCP < 2.5s / FID < 100ms / TTFB < 500ms,D11 §8,tests/e2e/performance-core-web-vitals.spec.ts,tests/e2e/performance-core-web-vitals.spec.ts,IMPLEMENTED,Lighthouse score ≥ 90 for loan forms,3.2.0
SRS-LOAN-022,D03 §8.2,Queue processing for notifications < 30s,D11 §8,app/Jobs/SendLoanNotificationJob.php,tests/Feature/Jobs/QueuePerformanceTest.php,IMPLEMENTED,Redis queue with exponential backoff,3.2.0
SRS-LOAN-023,D03 §8.4,WCAG 2.2 AA accessibility compliance,D12 §3,resources/views/livewire/loans/guest-loan-application.blade.php,tests/e2e/accessibility.comprehensive.spec.ts,IMPLEMENTED,Axe-core 4.11.0 automated testing + manual audit,3.2.0
SRS-LOAN-024,D03 §8.4,Keyboard-only navigation support,D12 §3,resources/js/accessibility-enhancements.js,tests/Feature/KeyboardNavigationTest.php,IMPLEMENTED,Skip links + focus management + ARIA landmarks,3.2.0
SRS-LOAN-025,D03 §8.4,Bilingual interface (Bahasa Melayu primary / English secondary),D15 §2,resources/lang/ms/loan.php,tests/Feature/LocalizationTest.php,IMPLEMENTED,Laravel localization with auto-detection + cookie persistence,3.2.0
SRS-LOAN-026,D03 §8.5,Daily database backup with 30-day retention,D11 §9,scripts/backup-database.sh,tests/Feature/BackupTest.php,IMPLEMENTED,Automated MySQL backup + S3 storage,3.2.0
SRS-LOAN-027,D03 §8.5,Attachment backup to secondary storage daily,D11 §9,app/Jobs/BackupAttachmentsJob.php,tests/Feature/Jobs/BackupAttachmentsJobTest.php,IMPLEMENTED,S3 cross-region replication,3.2.0
SRS-LOAN-028,D03 §8.6,Immutable audit logs with 7-year retention,D09 §9,database/migrations/create_loan_audits_table.php,tests/Feature/AuditRetentionTest.php,IMPLEMENTED,Write Once Read Many (WORM) + automated purge after 7 years,3.2.0
SRS-LOAN-029,D03 §8.6,Audit log export to SIEM every 15 minutes,D11 §10,app/Jobs/ExportAuditLogsJob.php,tests/Feature/Jobs/ExportAuditLogsJobTest.php,IMPLEMENTED,Scheduled job with JSON export to BPM SIEM,3.2.0
SRS-LOAN-030,D03 §8.7,SMTP integration for email notifications,D07 §3,config/mail.php,tests/Feature/EmailIntegrationTest.php,IMPLEMENTED,GOV SMTP with SES fallback,3.2.0
SRS-LOAN-031,D03 §8.7,SMS gateway integration for critical notifications,D07 §3,app/Services/SmsGatewayService.php,tests/Feature/SmsGatewayTest.php,IMPLEMENTED,BPM SMS gateway with API token in secrets manager,3.2.0
SRS-LOAN-032,D03 §8.8,PDPA 2010 compliance (data retention/encryption/consent),D02 §6,app/Policies/DataPrivacyPolicy.php,tests/Feature/PdpaComplianceTest.php,IMPLEMENTED,7-year retention + encryption + explicit acknowledgement,3.2.0
SRS-LOAN-033,D03 §8.8,ISO/IEC 27701 privacy compliance,D02 §6,docs/compliance/iso-27701-checklist.md,tests/Feature/PrivacyComplianceTest.php,IMPLEMENTED,Privacy impact assessment + data mapping,3.2.0
SRS-LOAN-034,D03 §8.8,MyGOV Digital Service Standards v2.1.0 compliance,D02 §6,docs/compliance/mygov-dss-checklist.md,tests/Feature/MyGovDssTest.php,IMPLEMENTED,Accessibility + security + performance standards,3.2.0
SRS-LOAN-035,D03 §9,PHP 8.2.12 + Laravel 12.40.1 + Livewire 3.7.0 + Filament 4.1.10,D10 §2,composer.json,tests/Feature/TechnologyStackTest.php,IMPLEMENTED,Current technology stack versions,3.2.0
SRS-LOAN-036,D03 §9,Vite 7.0.7 + Tailwind CSS 4.1.17 + Alpine.js 3,D13 §2,package.json,tests/Feature/FrontendStackTest.php,IMPLEMENTED,Modern frontend build tools,3.2.0
SRS-LOAN-037,D03 §9,Laravel Reverb 1.6.2 WebSocket server for real-time updates,D11 §5,config/reverb.php,tests/Feature/ReverbTest.php,IMPLEMENTED,WebSocket server for live notifications,3.2.0
SRS-LOAN-038,D03 §10,PSR-12 code style compliance via Laravel Pint 1.26.0,D10 §4,pint.json,tests/Feature/CodeStyleTest.php,IMPLEMENTED,Automated code formatting in CI/CD,3.2.0
SRS-LOAN-039,D03 §10,Static analysis via Larastan 3.8.0 (PHPStan level 9),D10 §4,phpstan.neon,tests/Feature/StaticAnalysisTest.php,IMPLEMENTED,Type safety + error detection,3.2.0
SRS-LOAN-040,D03 §10,Unit + feature testing via PHPUnit 11.5.44,D10 §5,phpunit.xml,tests/Feature/LoanModuleTest.php,IMPLEMENTED,Comprehensive test coverage ≥ 80%,3.2.0
SRS-LOAN-041,D03 §10,E2E testing via Playwright 1.56.1,D10 §5,tests/e2e/loan.refactored.spec.ts,tests/e2e/loan.refactored.spec.ts,IMPLEMENTED,Cross-browser testing (Chrome/Firefox/Safari),3.2.0
SRS-LOAN-042,D03 §11,Change management via D01 §9.3 (Change Request ID/impact/owner/rollback),D01 §9.3,docs/change-requests/,tests/Feature/ChangeManagementTest.php,IMPLEMENTED,Documented change control process,3.2.0
SRS-LOAN-043,D03 §12,Success criteria: ≥95% email approvals resolved without manual intervention,D02 §7,app/Services/ApprovalMetricsService.php,tests/Feature/SuccessCriteriaTest.php,IMPLEMENTED,Automated metrics tracking,3.2.0
SRS-LOAN-044,D03 §12,Success criteria: Lighthouse score ≥90 (Desktop/Mobile),D11 §8,tests/e2e/performance-core-web-vitals.spec.ts,tests/e2e/performance-core-web-vitals.spec.ts,IMPLEMENTED,Automated performance testing,3.2.0
SRS-LOAN-045,D03 §12,Success criteria: 0 data breach incidents related to approval links,D11 §6,app/Services/SecurityMonitoringService.php,tests/Feature/SecurityIncidentTest.php,IMPLEMENTED,Security monitoring + incident tracking,3.2.0
SRS-LOAN-046,D03 §15,Requirements Traceability Matrix (RTM) with 100% SRS→Design→Code→Test,D01 §8,docs/reference/rtm/loan_requirements_rtm.csv,tests/Feature/RtmCompletenessTest.php,IMPLEMENTED,Machine-readable CSV with full traceability chain,3.2.0
SRS-LOAN-047,D03 §15,All D00-D15 standards integrated and compliant,D00-D15,All documentation files,tests/Feature/ComplianceTest.php,IMPLEMENTED,100% documentation coverage + cross-references,3.2.0
SRS-LOAN-048,D09 §5.6,loan_applications table with guest metadata fields,D09 §5.6,database/migrations/create_loan_applications_table.php,tests/Feature/DatabaseSchemaTest.php,IMPLEMENTED,applicant_name/email/phone/division_code/grade + approval_token_hash + status_token_hash,3.2.0
SRS-LOAN-049,D09 §5.9,loan_approvals table with decision tracking,D09 §5.9,database/migrations/create_loan_approvals_table.php,tests/Feature/DatabaseSchemaTest.php,IMPLEMENTED,approver_email/grade/decision/remarks/decision_at/decision_ip_hash/token_hash/metadata,3.2.0
SRS-LOAN-050,D09 §5.10,loan_audits table for granular audit trail,D09 §5.10,database/migrations/create_loan_audits_table.php,tests/Feature/DatabaseSchemaTest.php,IMPLEMENTED,Tracks all loan application/approval/transaction changes,3.2.0
